,, data,concessionari ,consistenza,decreto ministeriale,durata anni,foglio,particella,progetto,sub,tipologia,ubicazione,unnamed 10
Catania,121.0,,societ cooperativa sociale di solidariet omnicoopvia basilea 420152 milano,23 mq,,10,,,progetto sociale,,box,via torre c.,
Catania,122.0,,societ cooperativa sociale di solidariet omnicoopvia basilea 420152 milano,23 mq,,10,,,progetto sociale,,box,via torre c.,
Catania,123.0,,societ cooperativa sociale di solidariet omnicoopvia basilea 420152 milano,19 mq,,10,,,progetto sociale,,box,via torre c.,
Catania,124.0,,societ cooperativa sociale di solidariet omnicoopvia basilea 420152 milano,13 mq,,10,,,progetto sociale,,box,via torre c.,
Catania,125.0,,societ cooperativa sociale di solidariet omnicoopvia basilea 420152 milano,20 mq,,10,,,progetto sociale,,box,via torre c.,
Catania,126.0,,societ cooperativa sociale di solidariet omnicoopvia basilea 420152 milano,13 mq,,10,,,progetto sociale,,box,via torre c.,
Catania,127.0,,societ cooperativa sociale di solidariet omnicoopvia basilea 420152 milano,29 mq,,10,,,progetto sociale,,box,via torre c.,
Catania,128.0,,fondazione progetto arca onlusvia s. giovanni alla paglia 720124 milano,1 vani,,10,,,progetto sociale,,abitazione,via torriani napo,
Catania,129.0,,fondazione progetto arca onlusvia s. giovanni alla paglia 720124 milano,"1,5 vani",,10,,,progetto sociale,,abitazione,via torriani napo,
Catania,130.0,,associazione papaseparatilombardia onlusvia salvo dacquisto 1220037 paderno dugnano mi,1 vani,,10,,,progetto sociale,,abitazione e solai di pertinenza,via vallazze,
Catania,131.0,,associazione papaseparatilombardia onlusvia salvo dacquisto 1220037 paderno dugnano mi,14 mq,,10,,,progetto sociale,,abitazione e solai di pertinenza,via vallazze,
Catania,132.0,,associazione papaseparatilombardia onlusvia salvo dacquisto 1220037 paderno dugnano mi,1 vani,,10,,,progetto sociale,,abitazione e solai di pertinenza,via vallazze,
Catania,133.0,,associazione papaseparatilombardia onlusvia salvo dacquisto 1220037 paderno dugnano mi,25 mq,,10,,,progetto sociale,,abitazione e solai di pertinenza,via vallazze,
Catania,134.0,,associazione papaseparatilombardia onlusvia salvo dacquisto 1220037 paderno dugnano mi,24 mq,,10,,,progetto sociale,,abitazione e solai di pertinenza,via vallazze,
Catania,135.0,,associazione opera san francescoper i povericorso concordia 320129 milano,1 vani,,10,,,progetto sociale,,abitazione e solai di pertinenza,via vallazze,
Catania,136.0,,associazione opera san francescoper i povericorso concordia 320129 milano,24 mq,,10,,,progetto sociale,,abitazione e solai di pertinenza,via vallazze,
Catania,137.0,,associazione opera san francescoper i povericorso concordia 320129 milano,1 vani,,10,,,progetto sociale,,"abitazione, cantina e solaio di pertinenza",via vallazze,
Catania,138.0,,associazione opera san francescoper i povericorso concordia 320129 milano,10 mq,,10,,,progetto sociale,,"abitazione, cantina e solaio di pertinenza",via vallazze,
Catania,139.0,,associazione opera san francescoper i povericorso concordia 320129 milano,17 mq,,10,,,progetto sociale,,"abitazione, cantina e solaio di pertinenza",via vallazze,
Catania,140.0,,fondazione casa della carit angelo abriani onlusvia brambilla 8/1020128 milano,1 vani,,10,,,progetto sociale,,abitazione,via vallazze,
Catania,141.0,,fondazione casa della carit angelo abriani onlusvia brambilla 8/1020128 milano,"2,5 vani",,10,,,progetto sociale,,abitazione e solai di pertinenza,via vallazze,
Catania,142.0,,fondazione casa della carit angelo abriani onlusvia brambilla 8/1020128 milano,15 mq,,10,,,progetto sociale,,abitazione e solai di pertinenza,via vallazze,
Catania,143.0,,fondazione casa della carit angelo abriani onlusvia brambilla 8/1020128 milano,2 vani,,10,,,progetto sociale,,abitazione e solai di pertinenza,via vallazze,
Catania,144.0,,fondazione casa della carit angelo abriani onlusvia brambilla 8/1020128 milano,13 mq,,10,,,progetto sociale,,abitazione e solai di pertinenza,via vallazze,
